user_id,SALARY,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF_x,POINTS,GP,MPG,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,player_height,player_weight,country
105305397,-1,25,14.8,2.7,5.6,0.487,0.8,2.1,0.374,1.9,3.5,0.556,0.558,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,1,6.8,77,14.8,-1.08,-1.82,-2.9,0.17,9.2,100.62,63,190.5,79.3786,0
49680175,-1,32,4.9,0.9,2.4,0.383,0.6,1.4,0.4,0.4,1,0.36,0.5,0.1,0.1,1,0,0.2,0.2,0.6,0,0,0.2,0.2,2.5,25,4.9,-1.69,-1.18,-2.87,0.02,6.9,102.26,18,187.96,79.3786,0
364013199,0,20,20.1,2.4,5.9,0.399,0.6,2,0.321,1.7,4,0.438,0.452,0.5,0.8,0.657,0.6,3,3.6,1,0.5,0.4,1,2.5,5.9,81,20.1,-3.9,1.86,-2.04,1.14,4.9,99.61,46,210.82,108.86208,1
234811698,0,25,14,2.1,4.8,0.44,0.5,1.4,0.337,1.6,3.4,0.483,0.49,0.7,1,0.63,1,2.6,3.6,1,0.4,0.1,0.8,1.2,5.4,70,14,-1.22,-1.27,-2.49,0.39,9.4,98.86,41,210.82,99.79024,1
1.03197E+18,1,28,8.4,2.1,3.8,0.545,0,0,0,2.1,3.8,0.545,0.545,1.3,1.7,0.81,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,35,8.4,-0.24,1.66,1.42,0.82,19.6,97.2,16,220.98,131.54168,1
179119388,-1,23,16.5,1.6,4.2,0.378,0.4,1.7,0.267,1.1,2.5,0.45,0.431,0.5,0.8,0.651,0.2,1.7,1.9,2.1,0.7,0.2,1.1,1.4,4.1,52,16.5,-2.68,-0.56,-3.24,-0.06,5.7,96.85,14,193.04,99.79024,0
48028402,1,28,28,4.7,9.6,0.493,0,0,0,4.7,9.5,0.494,0.493,0.9,1.3,0.721,3,3.4,6.4,1,0.2,1.4,1.1,1.9,10.4,81,28,-2.07,0.63,-1.44,2.42,8.3,97.27,40,213.36,115.66596,0
560500094,0,22,7.1,0.7,2.5,0.292,0.4,1.5,0.255,0.4,1.1,0.342,0.365,0.4,0.5,0.765,0.2,0.5,0.7,0.3,0.3,0.1,0.3,0.6,2.2,35,7.1,-2.99,-0.03,-3.02,0.02,2.5,98.83,16,205.74,95.25432,0
28106585,-1,27,14.3,1.3,2.8,0.458,0,0,0,1.3,2.7,0.461,0.458,0.4,0.5,0.697,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,2.9,61,14.3,-2.56,-0.91,-3.47,-0.19,6.9,97.83,31,205.74,117.93392,0
739921296,0,23,16.4,2.5,5.9,0.424,0.8,2.6,0.299,1.7,3.3,0.522,0.49,1.4,1.7,0.791,0.9,2.3,3.3,0.9,0.5,0.3,0.9,1.5,7.1,75,16.4,-1.36,-2.54,-3.9,-0.59,9.1,97.35,24,198.12,103.418976,0
368148234,-1,23,22.6,2.3,5.1,0.444,0.6,1.7,0.376,1.6,3.4,0.478,0.507,2.1,2.7,0.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2,7.3,59,22.6,-0.8,0.31,-0.49,2.29,8.7,101.2,13,198.12,90.7184,0
38026892,0,29,24,2.5,5.5,0.452,1.5,3.4,0.441,1,2.1,0.471,0.589,0.6,0.8,0.735,0.3,2.9,3.2,2.7,1.2,0.1,1.3,2,7.1,82,24,2.29,0.26,2.55,6.68,8.9,94.04,51,203.2,102.511792,1
